YEAR,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,51.1,50.9,-0.20000000000000284
2014,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,51.1,47.5,-3.6000000000000014
2014,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,51.1,41.9,-9.200000000000003
2014,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,51.1,36.7,-14.399999999999999
2014,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,61.5,61.4,-0.10000000000000142
2014,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,61.5,60.3,-1.2000000000000028
2014,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,61.5,51.1,-10.399999999999999
2014,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,61.5,42.1,-19.4
2014,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,70.5,70.2,-0.29999999999999716
2014,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,70.5,68.2,-2.299999999999997
2014,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,70.5,58.5,-12.0
2014,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,70.5,48.0,-22.5
2014,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,73.9,73.6,-0.30000000000001137
2014,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,73.9,70.5,-3.4000000000000057
2014,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,73.9,60.2,-13.700000000000003
2014,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,73.9,49.0,-24.900000000000006
2014,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,68.5,68.5,0.0
2014,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,68.5,69.0,0.5
2014,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,68.5,58.4,-10.100000000000001
2014,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,68.5,47.0,-21.5
2014,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.3,55.2,-0.09999999999999432
2014,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,55.3,53.8,-1.5
2014,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,55.3,47.9,-7.399999999999999
2014,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,55.3,42.4,-12.899999999999999
2014,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,65.1,65.2,0.10000000000000853
2014,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,65.1,66.0,0.9000000000000057
2014,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,65.1,59.6,-5.499999999999993
2014,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,65.1,53.6,-11.499999999999993
