period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995-2007,1995,2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,13,76.79,79.48,74.67,-2.11,
1995-2007,1995,2007,Austria,AT,AUT,AUT,0,poverty,Poverty risk rate,percentage points,5,15.22,,,,
1995-2007,1995,2007,Austria,AT,AUT,AUT,0,temporary_contract,Temporary contract rate,percentage points,13,9.65,11.78,11.84,2.19,
1995-2007,1995,2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,13,73.63,74.87,57.54,-16.09,
1995-2007,1995,2007,Belgium,BE,BEL,BEL,0,poverty,Poverty risk rate,percentage points,5,20.11,,,,
1995-2007,1995,2007,Belgium,BE,BEL,BEL,0,temporary_contract,Temporary contract rate,percentage points,13,9.58,13.38,16.95,7.37,
1995-2007,1995,2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,7,69.98,,,,
1995-2007,1995,2007,Bulgaria,BG,BGR,BGR,0,poverty,Poverty risk rate,percentage points,2,59.25,,,,
1995-2007,1995,2007,Bulgaria,BG,BGR,BGR,0,temporary_contract,Temporary contract rate,percentage points,7,7.38,,,,
1995-2007,1995,2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,12,84.19,82.02,74.97,-9.22,
1995-2007,1995,2007,Switzerland,CH,CHE,CHE,0,poverty,Poverty risk rate,percentage points,1,13.93,,,,
1995-2007,1995,2007,Switzerland,CH,CHE,CHE,0,temporary_contract,Temporary contract rate,percentage points,12,13.8,14.56,19.09,5.29,
1995-2007,1995,2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,9,82.19,80.71,62.51,-19.67,
1995-2007,1995,2007,Cyprus,CY,CYP,CYP,0,poverty,Poverty risk rate,percentage points,3,21.3,,,,
1995-2007,1995,2007,Cyprus,CY,CYP,CYP,0,temporary_contract,Temporary contract rate,percentage points,9,7.73,24.54,58.53,50.79,
1995-2007,1995,2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,10,78.38,82.96,78.14,-0.24,
1995-2007,1995,2007,Czechia,CZ,CZE,CZE,0,poverty,Poverty risk rate,percentage points,3,16.77,,,,
1995-2007,1995,2007,Czechia,CZ,CZE,CZE,0,temporary_contract,Temporary contract rate,percentage points,11,10.68,18.38,29.81,19.24,
1995-2007,1995,2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,12,75.62,75.43,58.11,-17.51,
1995-2007,1995,2007,Germany,DE,DEU,DEU,0,poverty,Poverty risk rate,percentage points,3,20.33,,,,
1995-2007,1995,2007,Germany,DE,DEU,DEU,0,temporary_contract,Temporary contract rate,percentage points,13,15.62,16.23,19.85,4.23,
1995-2007,1995,2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,13,80.23,81.64,65.54,-14.69,
1995-2007,1995,2007,Denmark,DK,DNK,DNK,0,poverty,Poverty risk rate,percentage points,5,16.4,,,,
1995-2007,1995,2007,Denmark,DK,DNK,DNK,0,temporary_contract,Temporary contract rate,percentage points,13,10.86,19.57,20.91,10.19,
