YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,80.19999999999999,80.20833333333333,84.89166666666667,4.691666666666677,
1995,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,72.28333333333333,68.3,55.66,-16.623333333333335,
1995,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.61111111111111,76.5529411764706,60.14375,-15.467361111111117,
1995,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,79.01111111111112,94.13,68.84545454545454,-10.165656565656576,
1995,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,65.83888888888889,61.625,58.79333333333333,-7.045555555555559,
1995,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,73.94444444444444,,,,
1995,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,69.67777777777778,70.74166666666666,57.65833333333333,-12.019444444444446,
1995,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,84.18333333333334,80.43333333333334,69.97333333333333,-14.210000000000008,
1995,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,68.59444444444445,69.0,62.81666666666666,-5.777777777777786,
1995,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,78.6470588235294,75.16875,68.925,-9.722058823529409,
1996,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,78.22777777777777,79.19166666666668,71.15833333333333,-7.069444444444443,
1996,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,71.69999999999999,65.78235294117647,62.31333333333334,-9.386666666666649,
1996,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,83.78333333333333,84.40625,74.21538461538461,-9.567948717948724,
1996,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,74.63888888888889,76.44117647058823,56.84375,-17.795138888888886,
1996,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,79.27222222222223,87.52727272727272,61.83,-17.442222222222227,
1996,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,66.49444444444444,55.831250000000004,55.93125,-10.563194444444441,
1996,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,73.35,,61.7,-11.649999999999991,
1996,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,71.20555555555556,71.85833333333333,64.43571428571428,-6.7698412698412795,
1996,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,84.50555555555555,81.12666666666668,72.16428571428571,-12.341269841269835,
1996,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,68.83333333333333,67.99166666666666,69.8,0.9666666666666686,
1996,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,77.31176470588235,79.0,84.68333333333334,7.3715686274509835,
1996,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,81.12777777777778,84.72142857142856,67.41666666666667,-13.711111111111109,
1997,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,77.82222222222222,77.48333333333333,77.68333333333332,-0.13888888888889994,
1997,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,71.88333333333334,75.5875,51.23846153846154,-20.644871794871797,
1997,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,83.32777777777778,83.3625,62.71333333333334,-20.614444444444445,
1997,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,73.23888888888888,76.36470588235295,55.682352941176475,-17.556535947712405,
1997,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,80.51666666666667,88.66666666666667,61.9,-18.616666666666667,
1997,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,67.13333333333334,59.475,51.413333333333334,-15.720000000000006,
1997,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,74.53888888888889,,37.33,-37.20888888888889,
1997,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,71.12777777777778,71.75,59.90714285714286,-11.220634920634922,
1997,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,85.68333333333334,82.38000000000001,78.97333333333333,-6.710000000000008,
1997,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,69.44999999999999,71.48333333333333,65.89999999999999,-3.549999999999997,
1997,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,77.36470588235295,78.66470588235293,71.5,-5.8647058823529505,
1997,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,83.03888888888889,87.82,74.93571428571428,-8.103174603174608,
1997,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,78.11666666666666,86.16666666666667,53.96,-24.15666666666666,
1998,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,84.08235294117648,79.82307692307693,79.575,-4.507352941176478,
