YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2008,1,Foreign-born,1971300,741300.0,37.60462638867752
2008,1,US-born,40651900,14470300.0,35.59563021654584
2008,2,Foreign-born,642200,362600.0,56.462161320460915
2008,2,US-born,6966200,2614500.0,37.53122218713215
2008,4,Foreign-born,8211100,3028500.0,36.88299984167773
2008,4,US-born,52630400,18798200.0,35.717380069313556
2008,5,Foreign-born,907100,268500.0,29.599823613714033
2008,5,US-born,21851600,8774300.0,40.154039063501074
2008,6,Foreign-born,130999800,49322800.0,37.651049848931066
2008,6,US-born,288633500,94768800.0,32.833610790154296
2008,8,Foreign-born,6021600,2277600.0,37.82383419689119
2008,8,US-born,67663800,24495500.0,36.201779976885724
2008,9,Foreign-born,8190000,2816600.0,34.39072039072039
2008,9,US-born,44353700,15521400.0,34.994600225009414
2008,10,Foreign-born,1366200,395300.0,28.934270238618065
2008,10,US-born,8214000,2608400.0,31.75553932310689
2008,11,Foreign-born,2001500,629100.0,31.431426430177368
2008,11,US-born,8979800,2313600.0,25.76449364128377
2008,12,Foreign-born,44905600,21295000.0,47.42170241573434
2008,12,US-born,135819600,49853600.0,36.705747918562565
2008,13,Foreign-born,14468400,5972500.0,41.27961626717536
2008,13,US-born,96260400,34949400.0,36.30714187765685
2008,15,Foreign-born,2750400,1330600.0,48.37841768470041
2008,15,US-born,12708800,5188300.0,40.82446808510639
2008,16,Foreign-born,779000,192000.0,24.646983311938385
2008,16,US-born,13633300,4822400.0,35.37221362399419
2008,17,Foreign-born,28071400,10458200.0,37.25571221955442
2008,17,US-born,135607700,47547200.0,35.06231578295333
2008,18,Foreign-born,3471700,890500.0,25.650257798772934
2008,18,US-born,60210500,20895200.0,34.70358160121573
2008,19,Foreign-born,1662900,358500.0,21.55872271333213
2008,19,US-born,31090400,10768300.0,34.635450171113916
2008,20,Foreign-born,2553000,646900.0,25.33881707794751
2008,20,US-born,32561700,11297500.0,34.69567006636631
2008,21,Foreign-born,2002400,601100.0,30.01897722732721
2008,21,US-born,33623800,12483300.0,37.12638071841969
2008,22,Foreign-born,1748100,638100.0,36.50248841599451
2008,22,US-born,35632900,12111500.0,33.989655627243366
2008,23,Foreign-born,415600,85900.0,20.66891241578441
2008,23,US-born,13607100,4701600.0,34.552549771810305
2008,24,Foreign-born,16065000,4893600.0,30.46125116713352
2008,24,US-born,66890300,20237500.0,30.254760406217347
2008,25,Foreign-born,17385000,4721300.0,27.157319528329023
2008,25,US-born,90129100,29383900.0,32.60201200278268
2008,26,Foreign-born,10683900,2571000.0,24.064246202229523
2008,26,US-born,92972900,32850600.0,35.333521918752666
2008,27,Foreign-born,5715000,1551500.0,27.14785651793526
2008,27,US-born,67211000,23524200.0,35.00052074809183
2008,28,Foreign-born,1012700,345600.0,34.12659227806853
2008,28,US-born,22349200,7684000.0,34.381543858393144
2008,29,Foreign-born,3272200,873400.0,26.691522523073164
2008,29,US-born,60335600,20961100.0,34.740849515045845
2008,30,Foreign-born,307600,128600.0,41.8075422626788
2008,30,US-born,10790400,4263200.0,39.50919335705812
2008,31,Foreign-born,1071200,311400.0,29.070201643017178
2008,31,US-born,20646800,7389100.0,35.788112443574796
2008,32,Foreign-born,5372900,2890600.0,53.79962403915949
2008,32,US-born,18322200,7237400.0,39.50071497964218
2008,33,Foreign-born,1498000,555000.0,37.04939919893191
2008,33,US-born,17880000,6089700.0,34.058724832214764
2008,34,Foreign-born,35120400,12632700.0,35.96969282809991
2008,34,US-born,93545800,31259600.0,33.41635861791764
2008,35,Foreign-born,1382300,359200.0,25.985676047167765
2008,35,US-born,15990700,4885400.0,30.55150806406224
2008,36,Foreign-born,66781500,26177900.0,39.1993291555296
2008,36,US-born,197000300,67657800.0,34.344008613184855
2008,37,Foreign-born,8544100,3280100.0,38.390234196697136
2008,37,US-born,93371300,33237900.0,35.59755513739232
2008,38,Foreign-born,65900,35900.0,54.47647951441578
2008,38,US-born,7597100,3232300.0,42.54649800581801
2008,39,Foreign-born,8414400,2216500.0,26.341747480509603
2008,39,US-born,110964700,38212400.0,34.43653702483763
2008,40,Foreign-born,2046200,631800.0,30.876747141041932
2008,40,US-born,31469000,11239700.0,35.716737106358636
2008,41,Foreign-born,4589400,1558300.0,33.95432954198806
2008,41,US-born,38776900,14084300.0,36.321366586808125
2008,42,Foreign-born,12613400,3794200.0,30.080707818669033
2008,42,US-born,128740500,44795600.0,34.79526644684462
2008,44,Foreign-born,1143900,385900.0,33.735466386921935
2008,44,US-born,12282900,4311300.0,35.100017096939645
2008,45,Foreign-born,2320300,753400.0,32.469939231995866
2008,45,US-born,41108000,15748500.0,38.31006130193636
2008,46,Foreign-born,291900,219400.0,75.16272696128812
2008,46,US-born,8125100,3072300.0,37.812457692828396
2008,47,Foreign-born,3395300,1112200.0,32.757046505463435
2008,47,US-born,56578900,20512800.0,36.25521174854937
2008,48,Foreign-born,39396300,13823900.0,35.089335800570105
2008,48,US-born,202226200,67764800.0,33.50940679298726
2008,49,Foreign-born,2313300,943100.0,40.76859897116673
2008,49,US-born,24913600,7797600.0,31.2985678504913
2008,50,Foreign-born,391400,92400.0,23.607562595809913
2008,50,US-born,8529900,3113600.0,36.50218642657006
2008,51,Foreign-born,16907500,6020200.0,35.606683424515744
2008,51,US-born,89355800,28482700.0,31.875602926726636
2008,53,Foreign-born,12319000,3862900.0,31.3572530237844
2008,53,US-born,70014300,25149800.0,35.920947577851955
2008,54,Foreign-born,534500,121700.0,22.768942937324603
2008,54,US-born,12921900,4220500.0,32.66160549145249
2008,55,Foreign-born,3380100,1042600.0,30.84524126505133
2008,55,US-born,60324100,20992900.0,34.800187653027564
2008,56,Foreign-born,122400,18300.0,14.950980392156863
2008,56,US-born,4905000,1911300.0,38.96636085626911
2009,1,Foreign-born,2085400,614400.0,29.461973722067707
2009,1,US-born,39530600,13760600.0,34.809995294784294
2009,2,Foreign-born,479300,201000.0,41.936156895472564
2009,2,US-born,6988500,2187900.0,31.307147456535738
2009,4,Foreign-born,8147900,2762100.0,33.899532394850205
2009,4,US-born,51848900,18264700.0,35.22678398191669
2009,5,Foreign-born,769700,192300.0,24.983759906457063
2009,5,US-born,21474600,7046700.0,32.81411528037775
2009,6,Foreign-born,129612400,45185100.0,34.861710762241884
2009,6,US-born,289696200,94644100.0,32.67012132019681
2009,8,Foreign-born,6050700,2309000.0,38.16087394846877
2009,8,US-born,66943100,23686300.0,35.3827354873019
2009,9,Foreign-born,7458700,2327000.0,31.198466220655074
2009,9,US-born,44684100,15156000.0,33.91810509778646
2009,10,Foreign-born,1386300,409800.0,29.56070114693789
2009,10,US-born,8896300,2914200.0,32.757438485662576
2009,11,Foreign-born,1841800,272700.0,14.80616787924856
2009,11,US-born,9562100,2397000.0,25.06771525083402
2009,12,Foreign-born,42181300,18655100.0,44.225995879690764
2009,12,US-born,132071000,48557000.0,36.765830500261224
2009,13,Foreign-born,14158400,4833300.0,34.13733190190982
2009,13,US-born,94131100,33388800.0,35.47052993112797
2009,15,Foreign-born,3013800,1239200.0,41.11752604685115
2009,15,US-born,12734400,5235000.0,41.10912174896344
2009,16,Foreign-born,776600,297500.0,38.30800927118207
2009,16,US-born,12899900,4397300.0,34.087861146210436
2009,17,Foreign-born,25594600,8997100.0,35.152336821048195
2009,17,US-born,137034500,47236400.0,34.47044357442834
2009,18,Foreign-born,3800100,1109600.0,29.199231599168442
2009,18,US-born,57784400,20051400.0,34.70036895771177
2009,19,Foreign-born,1542100,426900.0,27.68302963491343
2009,19,US-born,32438200,11433400.0,35.246715292463826
2009,20,Foreign-born,2161700,500000.0,23.12994402553546
2009,20,US-born,32819700,11276400.0,34.35863216299966
2009,21,Foreign-born,1821500,580600.0,31.874828438100465
2009,21,US-born,36802300,13169300.0,35.78390481029719
2009,22,Foreign-born,2430500,888400.0,36.55214976342317
2009,22,US-born,36906600,11924700.0,32.31048105216953
2009,23,Foreign-born,668600,116500.0,17.424469039784622
2009,23,US-born,14429000,4982600.0,34.531845588744886
2009,24,Foreign-born,15586700,4645300.0,29.802973047534113
2009,24,US-born,68834300,20634300.0,29.976770302015126
2009,25,Foreign-born,18387700,5508500.0,29.957525954850254
2009,25,US-born,90779400,29605300.0,32.61235478533676
2009,26,Foreign-born,10586500,2729400.0,25.781892032305294
2009,26,US-born,89689000,31482300.0,35.101628962303074
2009,27,Foreign-born,5882200,1624100.0,27.61041787086464
2009,27,US-born,65857200,23708300.0,35.99955661643677
2009,28,Foreign-born,762900,172000.0,22.54554987547516
2009,28,US-born,22535000,7690400.0,34.12646993565565
2009,29,Foreign-born,4079600,1151500.0,28.225806451612907
2009,29,US-born,60543700,21334800.0,35.23867883859097
2009,30,Foreign-born,399800,128700.0,32.191095547773884
2009,30,US-born,10010400,3497900.0,34.94265963398066
2009,31,Foreign-born,937900,461800.0,49.23765859899776
2009,31,US-born,20152800,6887200.0,34.17490373546108
2009,32,Foreign-born,4507400,2213200.0,49.10147757021787
2009,32,US-born,17877600,7022500.0,39.28099968675885
2009,33,Foreign-born,1357000,497700.0,36.6764922623434
2009,33,US-born,17512300,5808000.0,33.165260987991296
2009,34,Foreign-born,33252300,10980100.0,33.02057301299459
2009,34,US-born,92506800,31495400.0,34.04657819749467
2009,35,Foreign-born,1533100,579300.0,37.78618485421695
2009,35,US-born,17076200,5524600.0,32.35263114744498
2009,36,Foreign-born,64338000,24815400.0,38.57036277161242
2009,36,US-born,199288000,65853000.0,33.04413712817631
2009,37,Foreign-born,8710600,3156700.0,36.239753863109314
2009,37,US-born,92845100,32026100.0,34.494119775841696
2009,38,Foreign-born,362200,136100.0,37.57592490336831
2009,38,US-born,7326800,2885500.0,39.38281377954905
2009,39,Foreign-born,8403000,1931400.0,22.984648339878618
2009,39,US-born,109945800,36342300.0,33.05474151809346
2009,40,Foreign-born,2335900,696700.0,29.82576308917334
2009,40,US-born,30618300,11073400.0,36.16595304115513
2009,41,Foreign-born,4273000,1447000.0,33.86379592791949
2009,41,US-born,38634200,13450400.0,34.814749625979054
2009,42,Foreign-born,12592300,3449000.0,27.389754056050126
2009,42,US-born,129218400,43865400.0,33.94671347114652
2009,44,Foreign-born,1248500,514800.0,41.23348017621145
2009,44,US-born,12662200,4273800.0,33.752428487940485
2009,45,Foreign-born,2786400,906000.0,32.51507321274763
2009,45,US-born,41227100,15309300.0,37.134069580445875
2009,46,Foreign-born,223400,44000.0,19.695613249776187
2009,46,US-born,8191600,2914200.0,35.57546755212657
2009,47,Foreign-born,3824200,1266600.0,33.120652685529
2009,47,US-born,58172800,20872000.0,35.87931129325045
2009,48,Foreign-born,40660600,12495700.0,30.73171571496732
2009,48,US-born,201947500,64861400.0,32.11795144777727
2009,49,Foreign-born,2065900,788400.0,38.16254416961131
2009,49,US-born,25207700,8346300.0,33.11012111378666
2009,50,Foreign-born,367200,155800.0,42.429193899782135
2009,50,US-born,8272600,2751600.0,33.26161061818533
2009,51,Foreign-born,16428700,5509100.0,33.533389738689
2009,51,US-born,89626400,28185800.0,31.448100113359455
2009,53,Foreign-born,12662500,4005700.0,31.63435340572557
2009,53,US-born,67603100,23143700.0,34.234672670336124
2009,54,Foreign-born,464500,53800.0,11.582346609257266
2009,54,US-born,13077900,4261400.0,32.58474219867104
2009,55,Foreign-born,3422700,866700.0,25.322114120431237
2009,55,US-born,58683000,19109600.0,32.564115672341224
2009,56,Foreign-born,150600,33000.0,21.91235059760956
2009,56,US-born,5137500,1683500.0,32.76885644768856
2010,1,Foreign-born,2270700,724000.0,31.8844409213018
2010,1,US-born,39563300,13685800.0,34.59215990577126
2010,2,Foreign-born,690500,337100.0,48.81969587255612
2010,2,US-born,7895100,2819200.0,35.708224088358605
2010,4,Foreign-born,7227200,2790200.0,38.60692937790569
2010,4,US-born,51841900,17345000.0,33.45749287738297
2010,5,Foreign-born,1235100,408300.0,33.05805197959679
2010,5,US-born,21728700,7473400.0,34.39414230948009
2010,6,Foreign-born,124828800,45884100.0,36.757623240790586
2010,6,US-born,283184300,92886400.0,32.80068845624563
2010,8,Foreign-born,5233000,2073200.0,39.61781005159564
