period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008-2013,1,Foreign-born,93294000,40972800.0,43.91793684481317
2008-2013,1,US-born,2746783200,362259200.0,13.188488993233976
2008-2013,2,Foreign-born,27697000,7712900.0,27.84742029822724
2008-2013,2,US-born,392056700,73758900.0,18.813324705329613
2008-2013,4,Foreign-born,536960800,216314200.0,40.2849146529877
2008-2013,4,US-born,3334736000,476858700.0,14.299743667864561
2008-2013,5,Foreign-born,74635800,33545500.0,44.94558911407127
2008-2013,5,US-born,1665406000,263218700.0,15.805076960212705
2008-2013,6,Foreign-born,6074717700,1917374600.0,31.563188524793507
2008-2013,6,US-born,16168902500,2090048600.0,12.926347969505041
2008-2013,8,Foreign-born,299525800,115955200.0,38.71292556434204
2008-2013,8,US-born,2715980500,345180600.0,12.709244414678237
2008-2013,9,Foreign-born,285493000,68880200.0,24.12675617265572
2008-2013,9,US-born,1777222700,114794100.0,6.459184884370428
2008-2013,10,Foreign-born,44626100,11791800.0,26.423550343857073
2008-2013,10,US-born,487752700,41368700.0,8.481490722655149
2008-2013,11,Foreign-born,50432800,6999900.0,13.879657683095129
2008-2013,11,US-born,312907500,18003300.0,5.753553366410201
2008-2013,12,Foreign-born,2181337400,826959500.0,37.910664347477834
2008-2013,12,US-born,8821658600,1472433300.0,16.691116339505587
2008-2013,13,Foreign-born,563618000,264767600.0,46.976427296502244
2008-2013,13,US-born,5258867200,874400300.0,16.627160693466454
2008-2013,15,Foreign-born,142433300,14280900.0,10.026377258688804
2008-2013,15,US-born,643818100,39792600.0,6.180720921017908
2008-2013,16,Foreign-born,55813400,23180500.0,41.53214102706519
2008-2013,16,US-born,878692500,134239800.0,15.277221553615172
2008-2013,17,Foreign-born,1065613400,339353700.0,31.84585516661108
2008-2013,17,US-born,6583510300,667174000.0,10.13401619497732
2008-2013,18,Foreign-born,175269800,58587800.0,33.427207653571806
2008-2013,18,US-born,3693557100,502177500.0,13.596039979996519
2008-2013,19,Foreign-born,78926200,21713300.0,27.510889919950536
2008-2013,19,US-born,1740948900,138626300.0,7.962686325830701
2008-2013,20,Foreign-born,111720900,43779900.0,39.1868486558916
2008-2013,20,US-born,1587152800,175439800.0,11.053743533703875
2008-2013,21,Foreign-born,82155400,28076000.0,34.17425999995131
2008-2013,21,US-born,2508356400,351220500.0,14.002017416663756
2008-2013,22,Foreign-born,96507700,43177500.0,44.73995339231999
2008-2013,22,US-born,2612444200,439961700.0,16.84099893884815
2008-2013,23,Foreign-born,26474300,2881300.0,10.883385018678492
2008-2013,23,US-born,760219500,80273600.0,10.559266106696816
2008-2013,24,Foreign-born,471110400,133558100.0,28.349639490021872
2008-2013,24,US-born,2958909400,239121700.0,8.081413374806273
2008-2013,25,Foreign-born,589742900,55029900.0,9.331167869931118
2008-2013,25,US-born,3269945800,104144500.0,3.1848998842733107
2008-2013,26,Foreign-born,359051600,78605200.0,21.89245222692226
2008-2013,26,US-born,5551598800,626125200.0,11.278286175867033
2008-2013,27,Foreign-born,228556100,51617300.0,22.58408329508598
2008-2013,27,US-born,2946405200,222843400.0,7.563229931850514
2008-2013,28,Foreign-born,36851800,17900500.0,48.574289451261535
2008-2013,28,US-born,1734849800,299822800.0,17.28234916936325
2008-2013,29,Foreign-born,136145800,41010600.0,30.12255978517149
2008-2013,29,US-born,3438436300,441425600.0,12.837975215652534
2008-2013,30,Foreign-born,11553200,2686200.0,23.25070110445591
2008-2013,30,US-born,578656600,103164300.0,17.828242173337348
2008-2013,31,Foreign-born,66824500,24030500.0,35.96061324813504
2008-2013,31,US-born,1023349100,97900700.0,9.56669625253005
2008-2013,32,Foreign-born,308798900,117519600.0,38.05700085071547
2008-2013,32,US-born,1286703200,231371300.0,17.981714819703566
2008-2013,33,Foreign-born,42481900,7693700.0,18.110536487304003
2008-2013,33,US-born,740527500,75898000.0,10.249180482831495
2008-2013,34,Foreign-born,1099614400,322915700.0,29.366266938665042
2008-2013,34,US-born,4048242800,341201700.0,8.42839021414427
2008-2013,35,Foreign-born,121905600,59293200.0,48.638618734496205
2008-2013,35,US-born,1095685400,185901900.0,16.96672238217284
2008-2013,36,Foreign-born,2584840800,602424200.0,23.306046546464295
2008-2013,36,US-born,8845616200,708621600.0,8.010991930669567
2008-2013,37,Foreign-born,424381300,203125100.0,47.863819635785084
2008-2013,37,US-born,5258495300,714711700.0,13.59156297049462
2008-2013,38,Foreign-born,10308400,1774700.0,17.216056808040044
2008-2013,38,US-born,393346800,38780900.0,9.859213294731266
2008-2013,39,Foreign-born,269394700,62591900.0,23.234272983098776
2008-2013,39,US-born,6603226100,757916800.0,11.477977408648782
2008-2013,40,Foreign-born,122775800,58635500.0,47.758190131931535
2008-2013,40,US-born,2112375400,361341600.0,17.105936757263883
2008-2013,41,Foreign-born,225720700,78748000.0,34.887363011013164
2008-2013,41,US-born,2066997500,289865700.0,14.023514784125283
2008-2013,42,Foreign-born,439769000,100234300.0,22.792488783884266
2008-2013,42,US-born,7048055800,645816800.0,9.163048907756945
2008-2013,44,Foreign-born,82003900,21823800.0,26.6131244977373
2008-2013,44,US-born,536055900,48024400.0,8.95884179243247
2008-2013,45,Foreign-born,128696200,58375600.0,45.35922583572786
2008-2013,45,US-born,2628892000,405529400.0,15.425867627882772
2008-2013,46,Foreign-born,12374100,2648000.0,21.399536127880005
2008-2013,46,US-born,478378000,55768700.0,11.657873062724457
2008-2013,47,Foreign-born,169233800,75129700.0,44.39402767059536
2008-2013,47,US-born,3622949200,468332300.0,12.926824919322632
2008-2013,48,Foreign-born,2481399900,1232375500.0,49.66452606047095
2008-2013,48,US-born,12584644500,2296943400.0,18.251953005108724
2008-2013,49,Foreign-born,137736200,57616300.0,41.83090574591139
2008-2013,49,US-born,1532066200,186258500.0,12.157340198484896
2008-2013,50,Foreign-born,15142100,1455000.0,9.608971014588464
2008-2013,50,US-born,356101400,26544600.0,7.454225116778536
2008-2013,51,Foreign-born,530082800,153610500.0,28.978585986943926
2008-2013,51,US-born,4211800600,426681100.0,10.130610171811078
2008-2013,53,Foreign-born,528265100,149558700.0,28.31129673340147
2008-2013,53,US-born,3469787300,399617600.0,11.517063308174539
2008-2013,54,Foreign-born,14588300,3250900.0,22.28429631965342
2008-2013,54,US-born,1086187900,158280100.0,14.572073579534445
2008-2013,55,Foreign-born,157662000,45132500.0,28.62611155509888
2008-2013,55,US-born,3232526700,271420200.0,8.396533894058788
2008-2013,56,Foreign-born,9840100,3526500.0,35.838050426316805
2008-2013,56,US-born,324580600,45477800.0,14.011250210271347
2014-2019,1,Foreign-born,98466200,33011700.0,33.52592056969802
2014-2019,1,US-born,2799228700,274048800.0,9.79015398063045
2014-2019,2,Foreign-born,34057600,5541100.0,16.269790002818755
2014-2019,2,US-born,397622800,55044100.0,13.843295706383035
2014-2019,4,Foreign-born,563389200,143504800.0,25.471698783008268
2014-2019,4,US-born,3572377000,338223300.0,9.46773814745756
2014-2019,5,Foreign-born,86423600,28348400.0,32.80168842769799
2014-2019,5,US-born,1698028500,142351500.0,8.38333985560313
2014-2019,6,Foreign-born,6359311600,1005987600.0,15.81912734076437
2014-2019,6,US-born,16897303700,997975300.0,5.906121578438577
2014-2019,8,Foreign-born,325945600,83768800.0,25.700239549176306
2014-2019,8,US-born,2961851200,192864200.0,6.511610036317828
2014-2019,9,Foreign-born,310334000,56272100.0,18.13275374274169
2014-2019,9,US-born,1758475600,63062400.0,3.58619704475854
2014-2019,10,Foreign-born,54246700,9648600.0,17.786519732997583
2014-2019,10,US-born,509922700,27240600.0,5.342103812989694
2014-2019,11,Foreign-born,56725600,5532000.0,9.752210642108677
2014-2019,11,US-born,346212000,10657200.0,3.0782295241066167
2014-2019,12,Foreign-born,2567060000,616365900.0,24.010576301294087
2014-2019,12,US-born,9422808800,1061027900.0,11.260208314955939
2014-2019,13,Foreign-born,626172400,206886800.0,33.03991041444816
2014-2019,13,US-born,5506600200,677213800.0,12.29821987076527
2014-2019,15,Foreign-born,152947400,10469800.0,6.845359908046819
2014-2019,15,US-born,672802200,22989200.0,3.41693294106351
2014-2019,16,Foreign-born,58831100,18951700.0,32.213744091135474
2014-2019,16,US-born,953983500,97000300.0,10.167922191526374
2014-2019,17,Foreign-born,1075746700,222904700.0,20.720928077213717
2014-2019,17,US-born,6512687600,351269200.0,5.393613536752477
2014-2019,18,Foreign-born,205297100,50049100.0,24.378863607912628
2014-2019,18,US-born,3761457200,327323600.0,8.702042389316567
2014-2019,19,Foreign-born,97327000,16436500.0,16.88791393960566
2014-2019,19,US-born,1772436900,74943500.0,4.22827464266852
2014-2019,20,Foreign-born,124851500,36848100.0,29.513542088000545
2014-2019,20,US-born,1605032500,124745400.0,7.772141685604497
2014-2019,21,Foreign-born,100557600,24616100.0,24.47960174069389
2014-2019,21,US-born,2547198300,149852900.0,5.8830480532277365
2014-2019,22,Foreign-born,113260900,39931200.0,35.25594446097462
2014-2019,22,US-born,2666747200,266446600.0,9.991445758338099
2014-2019,23,Foreign-born,28881100,2682000.0,9.286349896645211
2014-2019,23,US-born,763610700,63425700.0,8.306025570359346
2014-2019,24,Foreign-born,547438500,105977900.0,19.358868621772128
2014-2019,24,US-born,3012127000,131161700.0,4.354454510052199
2014-2019,25,Foreign-born,681893900,43766700.0,6.418403214928305
2014-2019,25,US-born,3299207500,71418500.0,2.1647168297235018
2014-2019,26,Foreign-born,404417400,51281300.0,12.680290215010531
2014-2019,26,US-born,5520414800,317494000.0,5.751270719729249
2014-2019,27,Foreign-born,278538300,39284900.0,14.103949079893141
2014-2019,27,US-born,3026530400,120197100.0,3.971448626453579
