period,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008-2013,1,Naturalized citizen,30614600,5978100.0,19.526957726052277
2008-2013,1,Non-citizen / foreign-born unknown,62686600,35007300.0,55.84494931931226
2008-2013,1,US-born,2746783200,362259200.0,13.188488993233976
2008-2013,2,Naturalized citizen,15318800,2708000.0,17.67762487923336
2008-2013,2,Non-citizen / foreign-born unknown,12487300,5015500.0,40.16480744436347
2008-2013,2,US-born,392056700,73758900.0,18.813324705329613
2008-2013,4,Naturalized citizen,190433400,33832000.0,17.76579108496724
2008-2013,4,Non-citizen / foreign-born unknown,346304300,182438000.0,52.681413427439395
2008-2013,4,US-born,3334736000,476858700.0,14.299743667864561
2008-2013,5,Naturalized citizen,23712800,5776500.0,24.36026112479336
2008-2013,5,Non-citizen / foreign-born unknown,50923000,27769000.0,54.531351255817604
2008-2013,5,US-born,1665406000,263218700.0,15.805076960212705
2008-2013,6,Naturalized citizen,2828486200,449026900.0,15.875166723457939
2008-2013,6,Non-citizen / foreign-born unknown,3247929500,1468747300.0,45.221033892515216
2008-2013,6,US-born,16168902500,2090048600.0,12.926347969505041
2008-2013,8,Naturalized citizen,108429000,17731900.0,16.35346632358502
2008-2013,8,Non-citizen / foreign-born unknown,191083700,98223300.0,51.40328557590208
2008-2013,8,US-born,2715980500,345180600.0,12.709244414678237
2008-2013,9,Naturalized citizen,135748200,12630700.0,9.304506431761157
2008-2013,9,Non-citizen / foreign-born unknown,149751000,56249500.0,37.56201961923459
2008-2013,9,US-born,1777222700,114794100.0,6.459184884370428
2008-2013,10,Naturalized citizen,19884100,2346300.0,11.799880306375446
2008-2013,10,Non-citizen / foreign-born unknown,24731300,9445500.0,38.192492913837924
2008-2013,10,US-born,487752700,41368700.0,8.481490722655149
2008-2013,11,Naturalized citizen,18987300,1846100.0,9.722814723525724
2008-2013,11,Non-citizen / foreign-born unknown,31436400,5153800.0,16.394370856713874
2008-2013,11,US-born,312907500,18003300.0,5.753553366410201
2008-2013,12,Naturalized citizen,1085388200,231677500.0,21.34512794592755
2008-2013,12,Non-citizen / foreign-born unknown,1095829200,595262900.0,54.320773711815676
2008-2013,12,US-born,8821658600,1472433300.0,16.691116339505587
2008-2013,13,Naturalized citizen,205632200,48147700.0,23.4144749703597
2008-2013,13,Non-citizen / foreign-born unknown,357810600,216599500.0,60.534679520394306
2008-2013,13,US-born,5258867200,874400300.0,16.627160693466454
2008-2013,15,Naturalized citizen,79935900,4743500.0,5.934129721439303
2008-2013,15,Non-citizen / foreign-born unknown,63246900,9645500.0,15.250549829319699
2008-2013,15,US-born,643818100,39792600.0,6.180720921017908
2008-2013,16,Naturalized citizen,19115300,3581800.0,18.73786966461421
2008-2013,16,Non-citizen / foreign-born unknown,36576900,19555600.0,53.46434498276235
2008-2013,16,US-born,878692500,134239800.0,15.277221553615172
2008-2013,17,Naturalized citizen,483648600,69179000.0,14.303566680436994
2008-2013,17,Non-citizen / foreign-born unknown,581911100,270174700.0,46.42886172819182
2008-2013,17,US-born,6583510300,667174000.0,10.13401619497732
2008-2013,18,Naturalized citizen,62476800,10390700.0,16.631293536160623
2008-2013,18,Non-citizen / foreign-born unknown,112804800,48192500.0,42.722029559025856
2008-2013,18,US-born,3693557100,502177500.0,13.596039979996519
2008-2013,19,Naturalized citizen,29703500,4082300.0,13.743498240948037
2008-2013,19,Non-citizen / foreign-born unknown,49193500,17601800.0,35.78074339089514
2008-2013,19,US-born,1740948900,138626300.0,7.962686325830701
2008-2013,20,Naturalized citizen,39047700,7266000.0,18.608010202905678
2008-2013,20,Non-citizen / foreign-born unknown,72657900,36513900.0,50.25454905798268
2008-2013,20,US-born,1587152800,175439800.0,11.053743533703875
2008-2013,21,Naturalized citizen,29304900,4856200.0,16.571290125542145
2008-2013,21,Non-citizen / foreign-born unknown,52833900,23203200.0,43.91725766979155
2008-2013,21,US-born,2508356400,351220500.0,14.002017416663756
2008-2013,22,Naturalized citizen,39973200,9721800.0,24.320794932604844
2008-2013,22,Non-citizen / foreign-born unknown,56527100,33455700.0,59.18524035374183
2008-2013,22,US-born,2612444200,439961700.0,16.84099893884815
2008-2013,23,Naturalized citizen,14873900,990400.0,6.658643664405435
2008-2013,23,Non-citizen / foreign-born unknown,11595800,1890900.0,16.306766242950033
2008-2013,23,US-born,760219500,80273600.0,10.559266106696816
2008-2013,24,Naturalized citizen,218609700,26874700.0,12.293461818025458
2008-2013,24,Non-citizen / foreign-born unknown,252416700,106683400.0,42.26479468276069
2008-2013,24,US-born,2958909400,239121700.0,8.081413374806273
2008-2013,25,Naturalized citizen,295296000,12325200.0,4.173845903771131
2008-2013,25,Non-citizen / foreign-born unknown,294428800,42704700.0,14.504253659968047
2008-2013,25,US-born,3269945800,104144500.0,3.1848998842733107
2008-2013,26,Naturalized citizen,180098900,25482200.0,14.149003686307912
2008-2013,26,Non-citizen / foreign-born unknown,178918600,53137300.0,29.699148104221695
2008-2013,26,US-born,5551598800,626125200.0,11.278286175867033
2008-2013,27,Naturalized citizen,105469200,11060200.0,10.486663405050953
2008-2013,27,Non-citizen / foreign-born unknown,123093000,40557100.0,32.948339873104075
2008-2013,27,US-born,2946405200,222843400.0,7.563229931850514
2008-2013,28,Naturalized citizen,12149900,2801000.0,23.0536876846723
2008-2013,28,Non-citizen / foreign-born unknown,24701900,15099500.0,61.12687687991611
2008-2013,28,US-born,1734849800,299822800.0,17.28234916936325
2008-2013,29,Naturalized citizen,56780800,9133200.0,16.085014652840396
2008-2013,29,Non-citizen / foreign-born unknown,79277500,31874300.0,40.20598530478383
2008-2013,29,US-born,3438436300,441425600.0,12.837975215652534
2008-2013,30,Naturalized citizen,6148500,1086100.0,17.664471009189235
2008-2013,30,Non-citizen / foreign-born unknown,5397000,1600100.0,29.647952566240505
2008-2013,30,US-born,578656600,103164300.0,17.828242173337348
2008-2013,31,Naturalized citizen,24358300,3989300.0,16.377579716154248
2008-2013,31,Non-citizen / foreign-born unknown,42445500,20041200.0,47.216312683323316
2008-2013,31,US-born,1023349100,97900700.0,9.56669625253005
2008-2013,32,Naturalized citizen,128903400,22044600.0,17.101643556337535
2008-2013,32,Non-citizen / foreign-born unknown,179593200,95383500.0,53.110863885715055
2008-2013,32,US-born,1286703200,231371300.0,17.981714819703566
2008-2013,33,Naturalized citizen,22112300,2603200.0,11.772633330770658
2008-2013,33,Non-citizen / foreign-born unknown,20378100,5090500.0,24.98024840392382
2008-2013,33,US-born,740527500,75898000.0,10.249180482831495
2008-2013,34,Naturalized citizen,560642000,77654600.0,13.851013659340541
2008-2013,34,Non-citizen / foreign-born unknown,538981900,245261100.0,45.50451508668473
2008-2013,34,US-born,4048242800,341201700.0,8.42839021414427
2008-2013,35,Naturalized citizen,40063800,8998800.0,22.46117442678927
2008-2013,35,Non-citizen / foreign-born unknown,81835300,50294400.0,61.45807493832124
2008-2013,35,US-born,1095685400,185901900.0,16.96672238217284
2008-2013,36,Naturalized citizen,1357778800,149992600.0,11.04690985011697
2008-2013,36,Non-citizen / foreign-born unknown,1226900600,452379100.0,36.87169930473585
2008-2013,36,US-born,8845616200,708621600.0,8.010991930669567
2008-2013,37,Naturalized citizen,130745700,25576200.0,19.561790559842503
2008-2013,37,Non-citizen / foreign-born unknown,293488300,177514700.0,60.484421355127274
2008-2013,37,US-born,5258495300,714711700.0,13.59156297049462
2008-2013,38,Naturalized citizen,3732900,423100.0,11.334351308634037
2008-2013,38,Non-citizen / foreign-born unknown,6629700,1351600.0,20.387046171018298
2008-2013,38,US-born,393346800,38780900.0,9.859213294731266
2008-2013,39,Naturalized citizen,131922000,15869800.0,12.029684207334638
2008-2013,39,Non-citizen / foreign-born unknown,137483600,46748000.0,34.00260103750556
2008-2013,39,US-born,6603226100,757916800.0,11.477977408648782
2008-2013,40,Naturalized citizen,40516100,9592000.0,23.674539257233544
2008-2013,40,Non-citizen / foreign-born unknown,82254100,49057200.0,59.64103917008392
2008-2013,40,US-born,2112375400,361341600.0,17.105936757263883
2008-2013,41,Naturalized citizen,85569200,13503700.0,15.781028687892373
