YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008,1,Naturalized citizen,4104600,810100.0,19.736393314817523
2008,1,Non-citizen / foreign-born unknown,9086300,4665700.0,51.34873380804068
2008,1,US-born,449740000,57613900.0,12.810490505625472
2008,2,Naturalized citizen,2459300,446400.0,18.151506526247307
2008,2,Non-citizen / foreign-born unknown,1784000,489700.0,27.449551569506724
2008,2,US-born,62945900,12108900.0,19.236995578743016
2008,4,Naturalized citizen,28138000,4457400.0,15.841211173502026
2008,4,Non-citizen / foreign-born unknown,65692000,37679400.0,57.357669122572005
2008,4,US-born,548574100,75640000.0,13.788474519668354
2008,5,Naturalized citizen,3905800,1200400.0,30.73378053151723
2008,5,Non-citizen / foreign-born unknown,6955700,3807200.0,54.73496556780769
2008,5,US-born,273036400,44408300.0,16.264607942384238
2008,6,Naturalized citizen,437838000,63038000.0,14.397562568803988
2008,6,Non-citizen / foreign-born unknown,547790300,244150700.0,44.570102829495156
2008,6,US-born,2647256700,330681100.0,12.491463332588788
2008,8,Naturalized citizen,16289700,2494500.0,15.313357520396323
2008,8,Non-citizen / foreign-born unknown,33905100,18392700.0,54.24759107036995
2008,8,US-born,437075800,60597300.0,13.864254209452914
2008,9,Naturalized citizen,20943200,2147000.0,10.251537491882805
2008,9,Non-citizen / foreign-born unknown,25388500,8707700.0,34.297812001496744
2008,9,US-born,293083700,19028400.0,6.492479793315016
2008,10,Naturalized citizen,2504700,243200.0,9.709745678125124
2008,10,Non-citizen / foreign-born unknown,4415900,1396100.0,31.6152992594941
2008,10,US-born,79035600,7392600.0,9.353506521112005
2008,11,Naturalized citizen,2839100,223300.0,7.865168539325842
2008,11,Non-citizen / foreign-born unknown,5238600,1088700.0,20.782270072156685
2008,11,US-born,50332000,2904100.0,5.769887944051498
2008,12,Naturalized citizen,160540400,30458800.0,18.97266980772441
2008,12,Non-citizen / foreign-born unknown,179899100,93609900.0,52.034668322409615
2008,12,US-born,1438246000,244740400.0,17.016588260979
2008,13,Naturalized citizen,30627600,6264600.0,20.454100223327977
2008,13,Non-citizen / foreign-born unknown,60549400,36252500.0,59.87259989364057
2008,13,US-born,866980500,138673100.0,15.994950290116098
2008,15,Naturalized citizen,11975300,553900.0,4.625353853348142
2008,15,Non-citizen / foreign-born unknown,10660400,1557500.0,14.610145960751941
2008,15,US-born,102224400,5727700.0,5.603065412954246
2008,16,Naturalized citizen,2840900,723500.0,25.467281495300785
