period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_per_100k
2008-2013,1,Foreign-born,26879500,455000.0,1692.7398203091575
2008-2013,1,US-born,399425200,13858300.0,3469.5607588104103
2008-2013,2,Foreign-born,4338700,11900.0,274.2757047041741
2008-2013,2,US-born,70235500,1530400.0,2178.9550868150723
2008-2013,4,Foreign-born,121525800,5891500.0,4847.941753932087
2008-2013,4,US-born,502344200,19512400.0,3884.2689932520375
2008-2013,5,Foreign-born,21001300,276600.0,1317.061324775133
2008-2013,5,US-born,242127100,8381400.0,3461.5703900967715
2008-2013,6,Foreign-born,1228046300,14752300.0,1201.2820689252515
2008-2013,6,US-born,2574208800,75164600.0,2919.9107702529805
2008-2013,8,Foreign-born,74596400,1772700.0,2376.3881366929236
2008-2013,8,US-born,439115800,12297800.0,2800.582443173304
2008-2013,9,Foreign-born,57852700,380900.0,658.3962373406946
2008-2013,9,US-born,239898900,6791900.0,2831.150955673411
2008-2013,10,Foreign-born,11007100,65300.0,593.2534455033569
2008-2013,10,US-born,67525100,2328300.0,3448.0511691208158
2008-2013,11,Foreign-born,12686400,73800.0,581.7253121452894
2008-2013,11,US-born,60092100,1131500.0,1882.943015804074
2008-2013,12,Foreign-born,381610600,5648400.0,1480.147564035171
2008-2013,12,US-born,1232312700,50643000.0,4109.590041553576
2008-2013,13,Foreign-born,152411900,3400200.0,2230.928162433511
2008-2013,13,US-born,791079600,34694800.0,4385.753342647187
2008-2013,15,Foreign-born,20220300,152500.0,754.1925688540724
2008-2013,15,US-born,111558400,1512000.0,1355.3439274855143
2008-2013,16,Foreign-born,13328300,244200.0,1832.1916523487614
2008-2013,16,US-born,133484600,3511000.0,2630.2659632646764
2008-2013,17,Foreign-born,238766300,1957700.0,819.9230795970788
2008-2013,17,US-born,986455400,25681900.0,2603.4527257897316
2008-2013,18,Foreign-born,47268100,612200.0,1295.165238289671
2008-2013,18,US-born,549154000,17526700.0,3191.581960615784
2008-2013,19,Foreign-born,22660600,305000.0,1345.9484744446308
2008-2013,19,US-born,252842900,4504900.0,1781.6992290469693
2008-2013,20,Foreign-born,30423100,454700.0,1494.5879939914078
2008-2013,20,US-born,237887100,6163600.0,2590.9769802566007
2008-2013,21,Foreign-born,23051900,463100.0,2008.9450327304908
2008-2013,21,US-born,375373800,13520400.0,3601.8496762427217
2008-2013,22,Foreign-born,25817500,995900.0,3857.4610244988867
2008-2013,22,US-born,402594900,18745400.0,4656.144427065519
2008-2013,23,Foreign-born,3245600,50400.0,1552.8715799852107
2008-2013,23,US-born,102432900,1573000.0,1535.639428347728
2008-2013,24,Foreign-born,104017100,572200.0,550.1018582521527
2008-2013,24,US-born,420222900,12990000.0,3091.2165900525647
2008-2013,25,Foreign-born,120877500,990600.0,819.5073524849538
2008-2013,25,US-born,472066700,7982800.0,1691.0322206586486
2008-2013,26,Foreign-born,71982400,512200.0,711.5628264686923
2008-2013,26,US-born,804201000,23117700.0,2874.6171666038713
2008-2013,27,Foreign-born,57419900,659700.0,1148.9048221957894
2008-2013,27,US-born,433733900,6989700.0,1611.5180298334992
2008-2013,28,Foreign-born,11349300,1182100.0,10415.620346629308
2008-2013,28,US-born,260271000,12267600.0,4713.394884562628
2008-2013,29,Foreign-born,32562500,337900.0,1037.696737044146
2008-2013,29,US-born,510064100,15041700.0,2948.98229457827
2008-2013,30,Foreign-born,1691500,14000.0,827.6677505172923
2008-2013,30,US-born,86591900,1652500.0,1908.3771114850233
2008-2013,31,Foreign-born,18199600,321000.0,1763.7750280225941
2008-2013,31,US-born,152373800,2618800.0,1718.6681699872288
2008-2013,32,Foreign-born,68436100,970500.0,1418.111201544214
2008-2013,32,US-born,193311700,5279300.0,2730.9780008142293
2008-2013,33,Foreign-born,7211900,58200.0,806.9995424229398
2008-2013,33,US-born,103743500,1567000.0,1510.4560767662554
2008-2013,34,Foreign-born,220754800,2166000.0,981.1791181890496
2008-2013,34,US-born,550747400,16695700.0,3031.462336454062
2008-2013,35,Foreign-born,26394800,1279200.0,4846.409141194477
2008-2013,35,US-born,165286600,5141300.0,3110.5364863213354
2008-2013,36,Foreign-born,483716600,4139200.0,855.7076602291506
2008-2013,36,US-born,1346316600,32239700.0,2394.6596216669986
2008-2013,37,Foreign-born,122770900,1503400.0,1224.557285154707
2008-2013,37,US-born,766218700,21400600.0,2793.014579257854
2008-2013,38,Foreign-born,2641400,38300.0,1449.988642386613
2008-2013,38,US-born,67792200,1033800.0,1524.9541982705975
2008-2013,39,Foreign-born,58523500,1073100.0,1833.6223910053227
2008-2013,39,US-born,953635000,27575500.0,2891.619959418436
2008-2013,40,Foreign-born,35674100,757900.0,2124.5104992137153
2008-2013,40,US-born,321849200,13158500.0,4088.4053774252043
2008-2013,41,Foreign-born,55088200,956400.0,1736.1249777629328
2008-2013,41,US-born,303644900,7191400.0,2368.3585662067767
2008-2013,42,Foreign-born,89931200,1897000.0,2109.390289465725
