YEAR,STATEFIP,nativity_group,weighted_population,weighted_mean_income
2008,1,Foreign-born,13170900,25351.171869154994
2008,1,US-born,449740000,28483.355347994653
2008,2,Foreign-born,4185300,37640.18752880922
2008,2,US-born,62945900,40266.525547295605
2008,4,Foreign-born,93815100,24614.99655597597
2008,4,US-born,548574100,33743.20908680269
2008,5,Foreign-born,10861500,21992.98345207318
2008,5,US-born,273036400,26368.267086145454
2008,6,Foreign-born,985189800,30501.630111086153
2008,6,US-born,2647256700,39423.83584820065
2008,8,Foreign-born,50191900,25966.304850162993
2008,8,US-born,437075800,39156.03510164788
2008,9,Foreign-born,46331700,41369.55605622954
2008,9,US-born,293083700,46869.69424183744
2008,10,Foreign-born,6920600,36740.48591772654
2008,10,US-born,79035600,36010.09000319591
2008,11,Foreign-born,8077700,45405.19313797598
2008,11,US-born,50332000,49460.700543189196
2008,12,Foreign-born,340449700,27214.720447005573
2008,12,US-born,1438246000,33582.68274854139
2008,13,Foreign-born,91214000,29351.412918324695
2008,13,US-born,866980500,32900.30192211099
2008,15,Foreign-born,22408200,28257.208615762498
2008,15,US-born,102224400,37542.56033701938
2008,16,Foreign-born,8811100,25452.065750178936
2008,16,US-born,142116000,29506.201416403906
2008,17,Foreign-born,178742300,31638.48400714068
2008,17,US-born,1098518900,36423.453671730924
2008,18,Foreign-born,25600600,27109.489194465667
2008,18,US-born,608383600,30504.953277606026
2008,19,Foreign-born,11298500,24747.417315346756
2008,19,US-born,287540600,31436.460154946963
2008,20,Foreign-born,17229600,27472.03424729749
2008,20,US-born,260591300,33396.00215495156
2008,21,Foreign-born,11715300,31378.0485861907
2008,21,US-born,412789500,27461.88259775765
2008,22,Foreign-born,13224700,27031.939757496366
2008,22,US-born,425587300,28996.67662131171
2008,23,Foreign-born,4041600,25426.516405977516
2008,23,US-born,126133900,29258.020260897698
2008,24,Foreign-born,70753100,38611.8942092304
2008,24,US-born,485306500,42568.968116840915
2008,25,Foreign-born,93485800,37103.286591405806
2008,25,US-born,541291700,42479.85785147155
2008,26,Foreign-born,58048000,32761.29715866064
2008,26,US-born,935370200,30725.449549797948
2008,27,Foreign-born,35633500,32117.818012346434
2008,27,US-born,483401300,37858.94442759829
2008,28,Foreign-born,5950500,27856.72569306752
2008,28,US-born,286135000,25490.466585646467
2008,29,Foreign-born,21222700,30066.82538402279
2008,29,US-born,566238100,30665.79423587219
2008,30,Foreign-born,1986100,22447.07295864263
2008,30,US-born,93709800,29551.96825356804
2008,31,Foreign-born,10653900,21920.443312889758
2008,31,US-born,166641700,31380.801844797395
2008,32,Foreign-born,49769000,27535.42525925447
2008,32,US-born,206071900,36271.14930874798
2008,33,Foreign-born,6383100,39066.13330329127
2008,33,US-born,123477300,37879.04637809099
2008,34,Foreign-born,172712300,39612.5297476033
2008,34,US-born,673054400,44429.660399876455
2008,35,Foreign-born,18467200,22140.970571885206
2008,35,US-born,177805500,29760.422726397654
2008,36,Foreign-born,422417500,32438.12998932948
2008,36,US-born,1479491000,39930.12488970876
2008,37,Foreign-born,64255600,26648.39321075678
2008,37,US-born,849820000,31438.578340709213
2008,38,Foreign-born,1421700,18825.929080337402
2008,38,US-born,62331400,31604.817418720588
2008,39,Foreign-born,43303000,33914.257281797894
2008,39,US-born,1097867700,30768.97097932997
2008,40,Foreign-born,18165400,24146.584771201527
2008,40,US-born,342615400,28813.090823241324
2008,41,Foreign-born,36232300,27409.93205655163
2008,41,US-born,339384600,32657.40131531012
2008,42,Foreign-born,66420200,33652.794288697165
2008,42,US-born,1161241100,32717.029925730116
2008,44,Foreign-born,13147500,28470.164055424022
2008,44,US-born,89991300,35849.00445318175
2008,45,Foreign-born,19118600,26838.566929223227
2008,45,US-born,425279000,29081.97315886616
2008,46,Foreign-born,1548800,27882.370422535212
2008,46,US-born,78510100,30305.41184139826
2008,47,Foreign-born,25003700,28551.59885154283
2008,47,US-born,592236200,29559.374222307062
2008,48,Foreign-born,387540000,24338.584833564244
2008,48,US-born,2015686400,33941.81604592802
2008,49,Foreign-born,22369200,24526.416379259666
2008,49,US-born,248462100,31569.700292647216
2008,50,Foreign-born,2431600,31972.30911053152
2008,50,US-born,58980600,33571.65789436121
2008,51,Foreign-born,79341500,37950.515006848495
2008,51,US-born,685231200,39518.27066768399
2008,53,Foreign-born,80577200,32549.480101066354
2008,53,US-born,564218500,37651.99304091996
2008,54,Foreign-born,2439700,35794.44693740184
2008,54,US-born,178386400,25255.74903525118
2008,55,Foreign-born,25373500,28215.077930004267
2008,55,US-born,533779700,33148.810613648224
2008,56,Foreign-born,1263500,34658.39943694626
2008,56,US-born,51624500,34396.16151512787
2009,1,Foreign-born,14939000,25129.981158326304
2009,1,US-born,452238000,27904.671955711467
2009,2,Foreign-born,4925600,28769.830614131253
2009,2,US-born,63212500,38727.92047262359
2009,4,Foreign-born,92518000,22862.523583124075
2009,4,US-born,560117000,32015.661704801572
2009,5,Foreign-born,11618000,20960.396061552103
2009,5,US-born,275373100,26518.55882571223
2009,6,Foreign-born,992797400,29509.729083437807
2009,6,US-born,2659960600,38250.93346521967
2009,8,Foreign-born,49152500,26211.033191994095
2009,8,US-born,446859400,38327.512307623525
2009,9,Foreign-born,45815400,39433.87181958276
2009,9,US-born,293928200,45891.60930443067
2009,10,Foreign-born,7339500,33250.56088151049
2009,10,US-born,79817100,34991.106560163964
2009,11,Foreign-born,7327300,43214.26341003017
2009,11,US-born,51822000,49325.45498223429
2009,12,Foreign-born,347945500,26279.775879136825
2009,12,US-born,1448465700,31635.526086246155
2009,13,Foreign-born,92325500,27192.104347542267
2009,13,US-born,879256200,31123.244765587726
2009,15,Foreign-born,22015500,29495.78945824323
2009,15,US-born,103552700,35916.61093727012
2009,16,Foreign-born,9460300,23458.892591009393
2009,16,US-born,143527600,27832.542519889725
2009,17,Foreign-born,173212900,30103.084991564636
2009,17,US-born,1104600300,36268.09604027208
2009,18,Foreign-born,27894200,25254.51259837621
2009,18,US-born,611321200,29339.94923131541
