period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.583333333333336,50.150000000000006,-0.43333333333333
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,50.583333333333336,45.1,-5.483333333333334
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,50.583333333333336,40.13333333333333,-10.450000000000003
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,50.583333333333336,35.48333333333333,-15.100000000000009
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,62.333333333333336,61.9,-0.4333333333333371
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,62.333333333333336,58.36666666666667,-3.9666666666666686
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,62.333333333333336,49.96666666666666,-12.366666666666674
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,62.333333333333336,41.31666666666667,-21.016666666666666
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,71.68333333333334,71.18333333333334,-0.5
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,71.68333333333334,68.00000000000001,-3.683333333333323
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,71.68333333333334,57.916666666666664,-13.766666666666673
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,71.68333333333334,46.88333333333333,-24.800000000000004
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,75.58333333333333,75.08333333333333,-0.5
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,75.58333333333333,70.88333333333334,-4.699999999999989
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,75.58333333333333,60.68333333333334,-14.899999999999991
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,75.58333333333333,49.51666666666667,-26.066666666666656
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,69.88333333333333,69.73333333333335,-0.14999999999997726
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,69.88333333333333,68.60000000000001,-1.2833333333333172
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,69.88333333333333,58.6,-11.283333333333324
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,69.88333333333333,47.61666666666667,-22.26666666666666
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.21666666666667,54.68333333333333,-0.5333333333333385
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,55.21666666666667,47.86666666666667,-7.350000000000001
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,55.21666666666667,45.51666666666667,-9.699999999999996
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,55.21666666666667,43.65,-11.56666666666667
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,66.06666666666666,65.88333333333334,-0.1833333333333229
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,66.06666666666666,64.14999999999999,-1.9166666666666714
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,66.06666666666666,58.349999999999994,-7.716666666666669
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,66.06666666666666,53.49999999999999,-12.56666666666667
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,76.18333333333332,76.26666666666667,0.08333333333334281
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,76.18333333333332,77.01666666666667,0.8333333333333428
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,76.18333333333332,70.46666666666667,-5.716666666666654
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,76.18333333333332,64.3,-11.883333333333326
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,81.18333333333334,81.13333333333334,-0.04999999999999716
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,81.18333333333334,80.35,-0.8333333333333428
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,81.18333333333334,73.16666666666667,-8.016666666666666
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,81.18333333333334,66.11666666666666,-15.066666666666677
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,77.23333333333333,77.35,0.11666666666666003
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,77.23333333333333,78.81666666666666,1.5833333333333286
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,77.23333333333333,71.38333333333333,-5.8500000000000085
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,77.23333333333333,64.13333333333334,-13.099999999999994
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,52.916666666666664,52.416666666666664,-0.5
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,52.916666666666664,46.43333333333334,-6.483333333333327
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,52.916666666666664,42.86666666666667,-10.049999999999997
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,52.916666666666664,39.85,-13.066666666666663
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,64.21666666666665,63.93333333333333,-0.28333333333332433
