period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,years_observed
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.150000000000006,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,45.1,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,40.13333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,35.48333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,reporting_country,Reporting-country citizens,50.583333333333336,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,total,Total,48.949999999999996,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,61.9,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,58.36666666666667,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,49.96666666666666,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,41.31666666666667,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,reporting_country,Reporting-country citizens,62.333333333333336,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 29 years,total,Total,60.01666666666667,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,71.18333333333334,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,68.00000000000001,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,57.916666666666664,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,46.88333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,reporting_country,Reporting-country citizens,71.68333333333334,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 39 years,total,Total,68.64999999999999,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,75.08333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,70.88333333333334,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,60.68333333333334,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,49.51666666666667,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.58333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 59 years,total,Total,72.88333333333334,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,69.73333333333335,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,68.60000000000001,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,58.6,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,47.61666666666667,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,reporting_country,Reporting-country citizens,69.88333333333333,6
2014-2019,Austria,AUT,AUT,0,Females,From 15 to 64 years,total,Total,67.95,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,54.68333333333333,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,47.86666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,45.51666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,43.65,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,reporting_country,Reporting-country citizens,55.21666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 24 years,total,Total,53.666666666666664,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,65.88333333333334,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,64.14999999999999,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,58.349999999999994,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,53.49999999999999,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,reporting_country,Reporting-country citizens,66.06666666666666,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 29 years,total,Total,64.65,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,76.26666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,77.01666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,70.46666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,64.3,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,reporting_country,Reporting-country citizens,76.18333333333332,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 39 years,total,Total,74.95,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,81.13333333333334,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,80.35,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,73.16666666666667,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,66.11666666666666,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,reporting_country,Reporting-country citizens,81.18333333333334,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 59 years,total,Total,79.8,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,77.35,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,78.81666666666666,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,71.38333333333333,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,64.13333333333334,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,reporting_country,Reporting-country citizens,77.23333333333333,6
2014-2019,Austria,AUT,AUT,0,Males,From 15 to 64 years,total,Total,76.21666666666668,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,52.416666666666664,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,46.43333333333334,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,42.86666666666667,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,39.85,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,reporting_country,Reporting-country citizens,52.916666666666664,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,total,Total,51.31666666666667,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,63.93333333333333,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,61.083333333333336,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,54.13333333333333,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,47.666666666666664,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,reporting_country,Reporting-country citizens,64.21666666666665,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,total,Total,62.35,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,73.75,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,72.23333333333335,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,63.96666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,55.65,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,reporting_country,Reporting-country citizens,73.95,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,total,Total,71.81666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,78.10000000000001,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,75.36666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,66.76666666666667,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,57.83333333333332,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,reporting_country,Reporting-country citizens,78.41666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,stateless,Stateless,38.233333333333334,3
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,total,Total,76.36666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,73.55,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.43333333333334,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,64.81666666666666,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,55.916666666666664,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,reporting_country,Reporting-country citizens,73.55000000000001,6
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,stateless,Stateless,37.93333333333333,3
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 64 years,total,Total,72.08333333333333,6
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.11999999999999,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,44.459999999999994,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,40.66,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,36.440000000000005,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,reporting_country,Reporting-country citizens,49.660000000000004,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,total,Total,47.96,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,62.0,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,57.7,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,51.379999999999995,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,44.26,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,reporting_country,Reporting-country citizens,62.58,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 29 years,total,Total,60.17999999999999,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,72.16,5
