YEAR,period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,obs_flag,conf_status
2014,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.9,,
2015,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.9,,
2016,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.6,,
2017,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.2,,
2018,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.4,,
2019,2014-2019,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.9,,
2020,2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,48.6,,
2021,2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,47.1,b,
2022,2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.4,,
2023,2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.8,,
2024,2020-2024,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,49.7,,
2021,2020-2024,Bosnia and Herzegovina,BIH,BIH,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,13.8,b,
2022,2020-2024,Bosnia and Herzegovina,BIH,BIH,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,12.3,,
2023,2020-2024,Bosnia and Herzegovina,BIH,BIH,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,11.5,,
2024,2020-2024,Bosnia and Herzegovina,BIH,BIH,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,10.4,,
2014,2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.3,,
2015,2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.1,,
