YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2025,,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,80.25,78.17222222222222,66.1470588235294,-14.102941176470594,
2025,,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,77.98888888888888,78.56666666666666,64.66875,-13.320138888888877,
2025,,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,82.27777777777777,,72.68,-9.597777777777765,
2025,,Croatia,HR,HRV,HRV,0,brain_waste,Highly educated employment rate,percentage points,77.9388888888889,77.43333333333334,83.81,5.871111111111105,
2025,,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,82.03333333333333,80.2764705882353,67.3,-14.733333333333334,
2025,,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,80.97222222222223,89.42666666666668,80.775,-0.19722222222222285,
2020,2020-2024,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,79.41111111111111,82.10625,72.375,-7.036111111111111,
2025,,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,83.69444444444444,82.24,69.8,-13.894444444444446,
2025,,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,79.56666666666666,80.05714285714285,72.52499999999999,-7.041666666666671,
2025,,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,78.85,76.86470588235295,63.49444444444445,-15.355555555555547,
2025,,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,81.63333333333334,79.36111111111111,60.62222222222223,-21.011111111111113,
2025,,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,74.19999999999999,46.355555555555554,66.49375,-7.706249999999983,
2025,,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,82.16111111111111,75.46666666666667,77.68571428571428,-4.475396825396828,
2024,2020-2024,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,86.48333333333333,92.74666666666667,88.42666666666668,1.9433333333333422,
2025,,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,81.37222222222222,88.1125,79.48823529411764,-1.8839869281045765,
2025,,Italy,IT,ITA,ITA,0,brain_waste,Highly educated employment rate,percentage points,76.78333333333333,73.53529411764706,62.417647058823526,-14.365686274509805,
2025,,Latvia,LV,LVA,LVA,0,brain_waste,Highly educated employment rate,percentage points,83.39444444444445,,65.88823529411764,-17.50620915032681,
2025,,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,83.58888888888889,88.89090909090909,80.79375,-2.7951388888888857,
2025,,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,80.29375,86.40625,74.47500000000001,-5.818749999999994,
2020,2020-2024,Malta,MT,MLT,MLT,0,brain_waste,Highly educated employment rate,percentage points,84.38888888888889,94.7375,70.35882352941177,-14.03006535947712,
2019,2014-2019,Montenegro,ME,MNE,MNE,0,brain_waste,Highly educated employment rate,percentage points,72.65555555555555,,80.32222222222222,7.666666666666671,
2025,,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,82.69444444444444,79.26666666666667,67.94999999999999,-14.744444444444454,
2025,,North Macedonia,MK,MKD,MKD,0,brain_waste,Highly educated employment rate,percentage points,74.25555555555555,78.60000000000001,75.5625,1.3069444444444542,
2025,,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,81.27777777777777,83.53125,71.675,-9.602777777777774,
2025,,Poland,PL,POL,POL,0,brain_waste,Highly educated employment rate,percentage points,82.19444444444444,93.8111111111111,85.76875,3.5743055555555543,
2025,,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,82.12222222222222,86.87333333333332,76.55,-5.572222222222223,
2025,,Romania,RO,ROU,ROU,0,brain_waste,Highly educated employment rate,percentage points,80.39444444444445,,71.6125,-8.781944444444449,
2025,,Serbia,RS,SRB,SRB,0,brain_waste,Highly educated employment rate,percentage points,76.34444444444445,,59.85,-16.494444444444447,
2025,,Slovakia,SK,SVK,SVK,0,brain_waste,Highly educated employment rate,percentage points,80.5611111111111,,86.7,6.1388888888889,
2025,,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,81.40555555555555,77.73333333333333,66.04166666666667,-15.36388888888888,
2025,,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,76.76111111111112,76.50555555555555,62.48888888888889,-14.272222222222233,
