period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995-2007,1995,2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,13,76.78539467068877,79.47724535080306,74.6707326007326,-2.1146620699561898,
1995-2007,1995,2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,13,73.62978883861237,74.87357843137254,57.5441765285996,-16.08561231001276,
1995-2007,2001,2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,7,69.98015873015872,,,,
1995-2007,2006,2007,Croatia,HR,HRV,HRV,0,brain_waste,Highly educated employment rate,percentage points,2,72.69444444444444,,84.76666666666667,11.033333333333331,
1995-2007,1999,2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,9,82.18518518518516,80.70753968253968,62.51310185185186,-19.672083333333333,
1995-2007,1998,2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,10,78.3761111111111,82.95978571428572,78.13524404761907,-0.24086706349206252,
1995-2007,1995,2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,13,80.23134741075917,81.6367599067599,65.54291194916195,-14.688435461597228,
1995-2007,1998,2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,10,79.6182679738562,73.32457912457912,69.07003033730976,-10.548237636546464,
1995-2007,1995,2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,13,76.26880341880343,79.727913510101,54.70745370370371,-21.755046296296296,
1995-2007,1995,2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,13,71.91623931623931,69.72210664335665,59.03585137901314,-12.880387937226173,
1995-2007,1995,2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,12,75.62037037037037,75.42567401960784,58.10729166666667,-17.5130787037037,
1995-2007,1995,2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,13,71.40683760683761,68.31296037296036,69.94971153846156,-1.4571260683760665,
1995-2007,2001,2007,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,7,74.72777777777777,79.28961811997526,76.12344619666048,1.3956684188827049,
1995-2007,1999,2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,9,92.07389705882353,93.51666666666667,85.05238095238096,-3.700560224089633,
1995-2007,1999,2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,8,81.33713235294118,83.16490384615385,73.95574667366947,-7.381385679271705,
1995-2007,2005,2007,Italy,IT,ITA,ITA,0,brain_waste,Highly educated employment rate,percentage points,3,71.77777777777777,71.78750000000001,73.59583333333335,1.8180555555555553,
1995-2007,2004,2007,Latvia,LV,LVA,LVA,0,brain_waste,Highly educated employment rate,percentage points,4,80.22222222222223,84.52222222222221,68.28595238095238,-12.641825396825396,
1995-2007,1998,2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,10,76.6838888888889,,,,
1995-2007,1995,2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,12,79.20839460784313,78.40903799019608,73.9124007936508,-5.295993814192342,
1995-2007,2005,2007,Malta,MT,MLT,MLT,0,brain_waste,Highly educated employment rate,percentage points,3,79.72156862745099,,62.83796296296296,-16.883605664488016,
1995-2007,1999,2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,9,77.77716049382715,82.01805555555556,63.53946078431372,-14.237699709513436,
1995-2007,2006,2007,North Macedonia,MK,MKD,MKD,0,brain_waste,Highly educated employment rate,percentage points,2,65.70669934640523,,,,
1995-2007,1996,2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,12,82.78425925925926,86.75841765873015,74.01255456349206,-8.771704695767196,
1995-2007,2004,2007,Poland,PL,POL,POL,0,brain_waste,Highly educated employment rate,percentage points,4,71.89722222222223,,81.96296296296295,10.037037037037033,
1995-2007,1999,2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,9,80.25424836601307,80.26296296296296,80.74083333333333,2.4602777777777782,
1995-2007,2004,2007,Romania,RO,ROU,ROU,0,brain_waste,Highly educated employment rate,percentage points,4,75.63749999999999,,,,
1995-2007,2003,2007,Slovakia,SK,SVK,SVK,0,brain_waste,Highly educated employment rate,percentage points,5,75.87888888888888,,,,
1995-2007,2002,2007,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,6,77.15288671023966,80.5625,,,
1995-2007,1995,2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,13,71.20042735042735,64.83750314228256,63.05199974861739,-8.148427601809958,
1995-2007,1997,2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,11,79.73282828282828,80.97059573002754,61.70863636363636,-18.02419191919192,
1995-2007,1996,2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,12,84.19074074074075,82.01559095860566,74.9715659565108,-9.219174784229935,
1995-2007,1995,2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,12,86.28750000000001,82.91515522875818,76.89782037815127,-9.389679621848742,
