period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2008-2013,1,Foreign-born,12724000,4151500.0,32.62731845331657
2008-2013,1,US-born,240376900,84042000.0,34.96259415942214
2008-2013,2,Foreign-born,3800100,1842300.0,48.480303149917106
2008-2013,2,US-born,44387700,15041000.0,33.88551332914299
2008-2013,4,Foreign-born,47628600,17750000.0,37.267524134658586
2008-2013,4,US-born,317624500,112087800.0,35.289406201347816
2008-2013,5,Foreign-born,6365600,1852400.0,29.100163378157596
2008-2013,5,US-born,133728500,47432000.0,35.4688791095391
2008-2013,6,Foreign-born,774333900,282661900.0,36.503877719934515
2008-2013,6,US-born,1741484200,580464700.0,33.33160875074262
2008-2013,8,Foreign-born,35876000,13807400.0,38.48645333927974
2008-2013,8,US-born,410585900,149406700.0,36.3886582564087
2008-2013,9,Foreign-born,48433800,16691300.0,34.46209052355999
2008-2013,9,US-born,269846500,89742500.0,33.256870109488176
2008-2013,10,Foreign-born,8763000,2601900.0,29.69188634029442
2008-2013,10,US-born,53311000,17346600.0,32.538500497083156
2008-2013,11,Foreign-born,12745700,3038400.0,23.838627929419335
2008-2013,11,US-born,61846400,14618600.0,23.63694572359911
2008-2013,12,Foreign-born,268855600,121754700.0,45.28628007004504
2008-2013,12,US-born,812990900,297312400.0,36.57020023225353
2008-2013,13,Foreign-born,83356900,31354900.0,37.61524240944661
2008-2013,13,US-born,564041600,203113400.0,36.01035810124643
2008-2013,15,Foreign-born,17934500,8623100.0,48.08107279266219
2008-2013,15,US-born,80222100,31818900.0,39.66350918263172
2008-2013,16,Foreign-born,4438300,1406700.0,31.694567739900414
2008-2013,16,US-born,81908700,29020900.0,35.430790624194984
2008-2013,17,Foreign-born,158155300,58094400.0,36.73250279946357
2008-2013,17,US-born,835684400,294163500.0,35.200310069207944
2008-2013,18,Foreign-born,23965700,7098000.0,29.617328098073497
2008-2013,18,US-born,351826500,125010300.0,35.53180331782853
2008-2013,19,Foreign-born,10822600,2718300.0,25.1168850368673
2008-2013,19,US-born,192111800,67393400.0,35.08030219903202
2008-2013,20,Foreign-born,14161600,4228200.0,29.856795842277712
2008-2013,20,US-born,198696900,69944600.0,35.20165639222353
2008-2013,21,Foreign-born,12544400,3806900.0,30.347406013838846
2008-2013,21,US-born,217583500,78362100.0,36.014725381290404
2008-2013,22,Foreign-born,14020200,4715000.0,33.63004807349396
2008-2013,22,US-born,221111400,74684200.0,33.776729738946074
2008-2013,23,Foreign-born,4004800,1229800.0,30.708150219736318
2008-2013,23,US-born,87273100,31146800.0,35.68888924536885
2008-2013,24,Foreign-born,98680200,30737500.0,31.148599212405326
2008-2013,24,US-born,411974200,123177300.0,29.89927524587705
2008-2013,25,Foreign-born,103682100,30896200.0,29.79897205014173
2008-2013,25,US-born,540468800,179019600.0,33.12302208749145
2008-2013,26,Foreign-born,64103500,16525200.0,25.77893562753984
2008-2013,26,US-born,548214300,192060500.0,35.03383622061664
2008-2013,27,Foreign-born,37389200,11721300.0,31.349427107293014
2008-2013,27,US-born,407542500,143331800.0,35.169779838912504
