period,STATEFIP,Foreign-born,US-born,incarceration_rate_pct_gap_foreign_minus_us
2008-2013,1,1.6927398203091575,3.4695607588104105,-1.7768209385012528
2008-2013,2,0.27427570470417406,2.178955086815072,-1.904679382110898
2008-2013,4,4.847941753932087,3.8842689932520376,0.9636727606800491
2008-2013,5,1.317061324775133,3.4615703900967714,-2.1445090653216385
2008-2013,6,1.2012820689252515,2.9199107702529803,-1.718628701327729
2008-2013,8,2.3763881366929236,2.800582443173304,-0.4241943064803804
2008-2013,9,0.6583962373406946,2.8311509556734107,-2.172754718332716
2008-2013,10,0.5932534455033569,3.4480511691208156,-2.854797723617459
2008-2013,11,0.5817253121452894,1.882943015804074,-1.3012177036587846
2008-2013,12,1.480147564035171,4.109590041553576,-2.6294424775184053
2008-2013,13,2.2309281624335107,4.385753342647187,-2.1548251802136766
2008-2013,15,0.7541925688540724,1.3553439274855144,-0.6011513586314419
2008-2013,16,1.8321916523487614,2.6302659632646765,-0.7980743109159151
2008-2013,17,0.8199230795970788,2.6034527257897317,-1.7835296461926529
2008-2013,18,1.295165238289671,3.191581960615784,-1.8964167223261128
2008-2013,19,1.3459484744446308,1.7816992290469693,-0.4357507546023385
2008-2013,20,1.4945879939914077,2.5909769802566007,-1.096388986265193
2008-2013,21,2.008945032730491,3.6018496762427215,-1.592904643512231
2008-2013,22,3.8574610244988867,4.656144427065519,-0.7986834025666326
2008-2013,23,1.5528715799852106,1.535639428347728,0.01723215163748273
2008-2013,24,0.5501018582521527,3.0912165900525648,-2.5411147318004117
2008-2013,25,0.8195073524849538,1.6910322206586486,-0.8715248681736948
2008-2013,26,0.7115628264686923,2.8746171666038713,-2.163054340135179
2008-2013,27,1.1489048221957894,1.6115180298334992,-0.4626132076377098
2008-2013,28,10.415620346629309,4.713394884562629,5.70222546206668
2008-2013,29,1.037696737044146,2.9489822945782698,-1.9112855575341239
2008-2013,30,0.8276677505172924,1.9083771114850232,-1.0807093609677307
2008-2013,31,1.7637750280225941,1.7186681699872288,0.04510685803536535
2008-2013,32,1.418111201544214,2.7309780008142295,-1.3128667992700152
2008-2013,33,0.8069995424229398,1.5104560767662554,-0.7034565343433156
2008-2013,34,0.9811791181890497,3.0314623364540623,-2.0502832182650126
2008-2013,35,4.846409141194477,3.1105364863213354,1.735872654873142
2008-2013,36,0.8557076602291507,2.3946596216669986,-1.538951961437848
2008-2013,37,1.2245572851547069,2.793014579257854,-1.5684572941031472
2008-2013,38,1.449988642386613,1.5249541982705976,-0.07496555588398451
2008-2013,39,1.8336223910053226,2.8916199594184357,-1.057997568413113
