period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2008-2013,1,Foreign-born,26879500,455000.0,1.6927398203091575
2008-2013,1,US-born,399425200,13858300.0,3.4695607588104105
2008-2013,2,Foreign-born,4338700,11900.0,0.27427570470417406
2008-2013,2,US-born,70235500,1530400.0,2.178955086815072
2008-2013,4,Foreign-born,121525800,5891500.0,4.847941753932087
2008-2013,4,US-born,502344200,19512400.0,3.8842689932520376
2008-2013,5,Foreign-born,21001300,276600.0,1.317061324775133
2008-2013,5,US-born,242127100,8381400.0,3.4615703900967714
2008-2013,6,Foreign-born,1228046300,14752300.0,1.2012820689252515
2008-2013,6,US-born,2574208800,75164600.0,2.9199107702529803
2008-2013,8,Foreign-born,74596400,1772700.0,2.3763881366929236
2008-2013,8,US-born,439115800,12297800.0,2.800582443173304
2008-2013,9,Foreign-born,57852700,380900.0,0.6583962373406946
2008-2013,9,US-born,239898900,6791900.0,2.8311509556734107
2008-2013,10,Foreign-born,11007100,65300.0,0.5932534455033569
2008-2013,10,US-born,67525100,2328300.0,3.4480511691208156
2008-2013,11,Foreign-born,12686400,73800.0,0.5817253121452894
2008-2013,11,US-born,60092100,1131500.0,1.882943015804074
2008-2013,12,Foreign-born,381610600,5648400.0,1.480147564035171
2008-2013,12,US-born,1232312700,50643000.0,4.109590041553576
2008-2013,13,Foreign-born,152411900,3400200.0,2.2309281624335107
2008-2013,13,US-born,791079600,34694800.0,4.385753342647187
2008-2013,15,Foreign-born,20220300,152500.0,0.7541925688540724
2008-2013,15,US-born,111558400,1512000.0,1.3553439274855144
2008-2013,16,Foreign-born,13328300,244200.0,1.8321916523487614
2008-2013,16,US-born,133484600,3511000.0,2.6302659632646765
2008-2013,17,Foreign-born,238766300,1957700.0,0.8199230795970788
2008-2013,17,US-born,986455400,25681900.0,2.6034527257897317
2008-2013,18,Foreign-born,47268100,612200.0,1.295165238289671
2008-2013,18,US-born,549154000,17526700.0,3.191581960615784
2008-2013,19,Foreign-born,22660600,305000.0,1.3459484744446308
2008-2013,19,US-born,252842900,4504900.0,1.7816992290469693
2008-2013,20,Foreign-born,30423100,454700.0,1.4945879939914077
2008-2013,20,US-born,237887100,6163600.0,2.5909769802566007
2008-2013,21,Foreign-born,23051900,463100.0,2.008945032730491
2008-2013,21,US-born,375373800,13520400.0,3.6018496762427215
2008-2013,22,Foreign-born,25817500,995900.0,3.8574610244988867
2008-2013,22,US-born,402594900,18745400.0,4.656144427065519
2008-2013,23,Foreign-born,3245600,50400.0,1.5528715799852106
2008-2013,23,US-born,102432900,1573000.0,1.535639428347728
2008-2013,24,Foreign-born,104017100,572200.0,0.5501018582521527
2008-2013,24,US-born,420222900,12990000.0,3.0912165900525648
2008-2013,25,Foreign-born,120877500,990600.0,0.8195073524849538
2008-2013,25,US-born,472066700,7982800.0,1.6910322206586486
2008-2013,26,Foreign-born,71982400,512200.0,0.7115628264686923
2008-2013,26,US-born,804201000,23117700.0,2.8746171666038713
2008-2013,27,Foreign-born,57419900,659700.0,1.1489048221957894
2008-2013,27,US-born,433733900,6989700.0,1.6115180298334992
2008-2013,28,Foreign-born,11349300,1182100.0,10.415620346629309
2008-2013,28,US-born,260271000,12267600.0,4.713394884562629
2008-2013,29,Foreign-born,32562500,337900.0,1.037696737044146
2008-2013,29,US-born,510064100,15041700.0,2.9489822945782698
2008-2013,30,Foreign-born,1691500,14000.0,0.8276677505172924
2008-2013,30,US-born,86591900,1652500.0,1.9083771114850232
2008-2013,31,Foreign-born,18199600,321000.0,1.7637750280225941
2008-2013,31,US-born,152373800,2618800.0,1.7186681699872288
2008-2013,32,Foreign-born,68436100,970500.0,1.418111201544214
2008-2013,32,US-born,193311700,5279300.0,2.7309780008142295
2008-2013,33,Foreign-born,7211900,58200.0,0.8069995424229398
2008-2013,33,US-born,103743500,1567000.0,1.5104560767662554
2008-2013,34,Foreign-born,220754800,2166000.0,0.9811791181890497
2008-2013,34,US-born,550747400,16695700.0,3.0314623364540623
2008-2013,35,Foreign-born,26394800,1279200.0,4.846409141194477
2008-2013,35,US-born,165286600,5141300.0,3.1105364863213354
2008-2013,36,Foreign-born,483716600,4139200.0,0.8557076602291507
2008-2013,36,US-born,1346316600,32239700.0,2.3946596216669986
2008-2013,37,Foreign-born,122770900,1503400.0,1.2245572851547069
2008-2013,37,US-born,766218700,21400600.0,2.793014579257854
2008-2013,38,Foreign-born,2641400,38300.0,1.449988642386613
2008-2013,38,US-born,67792200,1033800.0,1.5249541982705976
2008-2013,39,Foreign-born,58523500,1073100.0,1.8336223910053226
2008-2013,39,US-born,953635000,27575500.0,2.8916199594184357
2008-2013,40,Foreign-born,35674100,757900.0,2.124510499213715
2008-2013,40,US-born,321849200,13158500.0,4.088405377425205
2008-2013,41,Foreign-born,55088200,956400.0,1.7361249777629328
2008-2013,41,US-born,303644900,7191400.0,2.3683585662067768
2008-2013,42,Foreign-born,89931200,1897000.0,2.109390289465725
2008-2013,42,US-born,1009330400,34471100.0,3.4152444036164966
2008-2013,44,Foreign-born,16207500,109200.0,0.6737621471540952
2008-2013,44,US-born,79545800,1284900.0,1.6152958421437713
2008-2013,45,Foreign-born,36098800,845000.0,2.340798032067548
2008-2013,45,US-born,386585900,14793300.0,3.8266527568646453
2008-2013,46,Foreign-born,3159300,68800.0,2.1776975912385654
2008-2013,46,US-born,72114700,1892800.0,2.624707583890663
2008-2013,47,Foreign-born,48843800,681200.0,1.3946498839156658
2008-2013,47,US-born,528746200,15859200.0,2.9993974424780734
2008-2013,48,Foreign-born,598440800,15057400.0,2.516105185341641
2008-2013,48,US-born,1939880600,77767100.0,4.008860132938079
2008-2013,49,Foreign-born,35598900,475700.0,1.3362772445216002
2008-2013,49,US-born,263412900,4214200.0,1.5998457175028251
2008-2013,50,Foreign-born,2387000,6200.0,0.2597402597402597
2008-2013,50,US-born,50676000,549600.0,1.0845370589628225
2008-2013,51,Foreign-born,122366500,1398200.0,1.1426329918727756
2008-2013,51,US-born,638672100,22079400.0,3.4570791490656942
2008-2013,53,Foreign-born,119101400,1432700.0,1.2029245667977033
2008-2013,53,US-born,528247000,9915900.0,1.8771332350207386
2008-2013,54,Foreign-born,3482600,212800.0,6.11037730431287
2008-2013,54,US-born,157260100,4738300.0,3.013033821039157
2008-2013,55,Foreign-born,39313900,526200.0,1.3384578991145624
2008-2013,55,US-born,473362000,14645600.0,3.0939534647901605
2008-2013,56,Foreign-born,2273700,50200.0,2.2078550380437174
2008-2013,56,US-born,51907100,1045800.0,2.014753280379755
2014-2019,1,Foreign-born,24390000,225000.0,0.922509225092251
2014-2019,1,US-born,404336100,13533200.0,3.3470174936148416
2014-2019,2,Foreign-born,5855100,37200.0,0.635343546651637
2014-2019,2,US-born,74105300,1691400.0,2.282427842542976
2014-2019,4,Foreign-born,106065600,4127600.0,3.891553906261785
2014-2019,4,US-born,547584900,22451600.0,4.100113060093512
2014-2019,5,Foreign-born,21659600,229600.0,1.0600380431771594
2014-2019,5,US-born,244318300,9089400.0,3.7203107585473534
2014-2019,6,Foreign-born,1050113400,10204200.0,0.9717236252770415
2014-2019,6,US-born,2897163400,69418300.0,2.396078177709963
2014-2019,8,Foreign-born,70682500,930400.0,1.3163088458953773
2014-2019,8,US-born,498932900,12265600.0,2.4583666460960982
2014-2019,9,Foreign-born,57492900,335100.0,0.5828545785653533
2014-2019,9,US-born,248130600,5608600.0,2.260341932836982
2014-2019,10,Foreign-born,11888000,33200.0,0.27927321668909827
2014-2019,10,US-born,70772600,2341700.0,3.308766386991576
2014-2019,11,Foreign-born,13001400,15100.0,0.11614133862507116
2014-2019,11,US-born,70501200,1270300.0,1.8018133024686105
2014-2019,12,Foreign-born,400892200,4308600.0,1.0747527639599872
2014-2019,12,US-born,1333200800,48731300.0,3.655210827956299
2014-2019,13,Foreign-born,138182100,3068600.0,2.2206928393764462
2014-2019,13,US-born,822304300,33036500.0,4.017551653323471
2014-2019,15,Foreign-born,18664900,250900.0,1.3442343650381197
2014-2019,15,US-born,116560900,1569400.0,1.3464206264707976
